# Chunk-averaged data for fix g_avg and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
50000 240 51540.000000000015
  153 0.635417 220 298.431
  154 0.639583 199.852 303.202
  155 0.64375 220.428 301.174
  156 0.647917 222.976 302.108
  157 0.652083 207.34 305.688
  158 0.65625 223.404 302.904
  159 0.660417 206.058 298.73
  160 0.664583 217.046 300.753
  161 0.66875 231.338 303.454
  162 0.672917 204.63 302.311
  163 0.677083 226.928 299.728
  164 0.68125 198.032 301.467
  165 0.685417 210.472 297.162
  166 0.689583 234.408 292.783
  167 0.69375 203.924 300.314
  168 0.697917 233.164 300.939
  169 0.702083 198 297.613
  170 0.70625 208.26 298.232
  171 0.710417 235.844 296.131
  172 0.714583 202.18 305.134
  173 0.71875 223.716 306.839
  174 0.722917 198.006 304.227
  175 0.727083 213.312 307.25
  176 0.73125 226.578 308.048
  177 0.735417 206.604 306.032
  178 0.739583 223.5 305.389
  179 0.74375 198.156 301.121
  180 0.747917 218.614 303.305
  181 0.752083 225.938 300.054
  182 0.75625 211.292 302.465
  183 0.760417 220 299.649
  184 0.764583 198.47 297.576
  185 0.76875 217.814 304.483
  186 0.772917 229.304 299.653
  187 0.777083 200.412 302.88
  188 0.78125 232 303.732
  189 0.785417 199.42 305.535
  190 0.789583 219.078 300.531
  191 0.79375 225.43 296.216
  192 0.797917 198.072 298.456
  193 0.802083 220 297.829
  194 0.80625 199.794 300.638
  195 0.810417 238.886 295.665
  196 0.814583 205.902 294.657
  197 0.81875 206.146 300.668
  198 0.822917 223.272 300.76
  199 0.827083 206.212 306.74
  200 0.83125 236.296 301.596
  201 0.835417 213.492 302.222
  202 0.839583 203.316 303.124
  203 0.84375 226.684 299.405
  204 0.847917 198.108 300.509
  205 0.852083 234.324 298.377
  206 0.85625 211.568 298.941
  207 0.860417 203.448 298.197
  208 0.864583 232.552 295.095
  209 0.86875 198.066 301.621
  210 0.872917 233.23 304.816
  211 0.877083 211.622 296.921
  212 0.88125 201.814 296.338
  213 0.885417 223.268 296.384
  214 0.889583 198.21 291.726
  215 0.89375 235.376 295.817
  216 0.897917 204.414 296.063
  217 0.902083 206.788 298.369
  218 0.90625 223.212 302.915
  219 0.910417 199.242 296.751
  220 0.914583 234.872 300.373
  221 0.91875 208.814 305.381
  222 0.922917 211.072 299.643
  223 0.927083 220 298.375
  224 0.93125 199.164 297.888
  225 0.935417 232.118 299.578
  226 0.939583 214.454 304.706
  227 0.94375 200.264 299.072
  228 0.947917 232 300.15
  229 0.952083 199.866 293.949
  230 0.95625 229.856 291.382
  231 0.960417 214.206 294.628
  232 0.964583 198.072 293.597
  233 0.96875 220 292.251
  234 0.972917 201.27 297.105
  235 0.977083 231.612 295.379
  236 0.98125 211.454 298.336
  237 0.985417 206.478 299.676
  238 0.989583 223.186 297.758
  239 0.99375 208.842 298.764
  240 0.997917 229.826 297.985
150000 240 51540.00000000001
  1 0.00208333 210.858 296.192
  2 0.00625 203.902 296.333
  3 0.0104167 226.338 298.837
  4 0.0145833 205.63 300.714
  5 0.01875 222.114 295.84
  6 0.0229167 216.044 297.822
  7 0.0270833 203.884 299.265
  8 0.03125 232.344 303.103
  9 0.0354167 204.944 301.384
  10 0.0395833 218.636 304.483
  11 0.04375 218.936 299.553
  12 0.0479167 202.186 298.06
  13 0.0520833 223.27 301.088
  14 0.05625 205.262 297.977
  15 0.0604167 219.312 299.915
  16 0.0645833 213.174 297.501
  17 0.06875 207.026 297.92
  18 0.0729167 223.222 301.685
  19 0.0770833 205.5 300.963
  20 0.08125 220.084 296.02
  21 0.0854167 216.816 296.492
  22 0.0895833 211.596 295.876
  23 0.09375 220.004 293.735
  24 0.0979167 205.352 292.943
  25 0.102083 218.846 294.116
