# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 100
47 161000 255 4396.91 15924.4 40149.2
48 164500 254 26035.4 35232 -123302
49 168000 253 -26447 -19606.9 -79638.3
50 171500 252 -58661.5 74046.3 -10313
51 175000 251 55851.8 -21085.5 -13580.7
52 178500 250 -24842.4 35162.6 2524.13
53 182000 249 25640.6 17512.8 56538.7
54 185500 248 16608.3 -58710.5 -28002.7
55 189000 247 -11417.8 39194.5 49544.4
56 192500 246 -55772.7 -9067.22 -32364.2
57 196000 245 -43597.6 24561.8 -5540.58
58 199500 244 15679 60535.5 -1365.12
59 203000 243 -54738.7 1845.67 -74143.7
60 206500 242 -32093.5 101565 -45933.1
61 210000 241 -46483.3 -81230.4 36078.7
62 213500 240 88131.4 18727 -40855.7
63 217000 239 -30699.3 -30830.4 -12818.5
64 220500 238 6284.84 35744.6 30139.5
65 224000 237 6371.88 49660.9 -18002.3
66 227500 236 19497.8 88718.7 11073.3
67 231000 235 -22201 -84174.7 7874.96
68 234500 234 98153.4 54578.1 -13983.3
69 238000 233 80540.2 -37786.7 35744.9
70 241500 232 43264.3 27901.9 17695.5
71 245000 231 63649.7 -134623 -54393.5
72 248500 230 87398.9 37435.4 -69239.1
73 252000 229 73568.5 -51448.7 -55405.6
74 255500 228 -1819.04 -1965.9 -3454.5
75 259000 227 18966.7 -22303 95293.1
76 262500 226 -12733.1 7503.43 98645.2
77 266000 225 -36811.9 21333 -60979.8
78 269500 224 -110018 -83112.2 80429.6
79 273000 223 -93254.9 -13284.6 -28446.2
80 276500 222 -13080.4 17814.1 -24530.9
81 280000 221 72039.2 60630.3 -105569
82 283500 220 -18892.4 -45348.9 -26541
83 287000 219 28459.6 58299.3 -130449
84 290500 218 55383.8 -17152 1091.98
85 294000 217 29912.4 43198.9 13669.8
86 297500 216 40344.4 -78533.9 20388.6
87 301000 215 -49559.8 62434.1 134587
88 304500 214 -36789.7 -36415.4 -125062
89 308000 213 -52172.8 -22310.5 35585.2
90 311500 212 -63256.3 3455.57 60801.5
91 315000 211 -101561 -42707.5 11938.8
92 318500 210 -6773.33 139241 -17021.5
93 322000 209 -17178.4 403.144 38293
94 325500 208 12829.4 44431.9 -104941
95 329000 207 -28584.7 -23468.8 29730.7
96 332500 206 -569.387 -68682 16819.1
97 336000 205 60900.4 14982.3 -36780.3
98 339500 204 47398.5 -5626.81 -59220.5
99 343000 203 64687.8 40589.9 -9000.43
100 346500 202 83099.7 39299.9 70313.4
1400000 100
1 0 401 806989 759640 784164
2 3500 400 72223.4 -47168.4 16994.5
3 7000 399 2683.67 89184.9 -21990.6
4 10500 398 12378.7 -35944.4 -21795.8
5 14000 397 -7494.12 42998.6 750.702
6 17500 396 -46822.2 -37736.9 16171.8
7 21000 395 -13736.3 -7880.42 10069.6
8 24500 394 -63047.3 35815.5 65.3047
9 28000 393 -27544 15801 -7836.29
10 31500 392 -45550.9 -20946.6 63873.4
11 35000 391 -39317.8 -19068.2 16428.1
12 38500 390 -20391.8 -35101 26157.6
13 42000 389 31910.1 -50883 21830
14 45500 388 17924 3972.08 -6960.66
15 49000 387 63378.3 -15247.5 38176.6
16 52500 386 -41404.3 23609.1 25395.9
17 56000 385 -59501.1 -46381.2 24725.6
18 59500 384 -50327.8 85471.2 73802.9
19 63000 383 43807.5 -64901.9 -4805.86
20 66500 382 -10084.9 -81355.9 -459.303
21 70000 381 -11302.6 -75368.8 -29689.7
22 73500 380 -6719.91 -30742.7 7534.05
23 77000 379 8189.36 -3070.37 13919.7
24 80500 378 -14814.7 20337.3 32848.6
25 84000 377 22536.9 33721.2 35621.6
26 87500 376 -28392.6 45207.3 74967.3
27 91000 375 -32531 -9610.23 -27381.8
28 94500 374 52586.3 -14959.8 -39973
29 98000 373 -11025.5 -46018.4 -1891.92
